Nom,Type,Lien / livre et page,_@@TYPE fruits et legume,Ail _QTE,Asperge _QTE,Asperge _GR,Aubergine _QTE,Betterave _QTE,Betterave _GR,Brocolis _QTE,Brocoli _GR,Carotte _QTE,Cebette _QTE,Celerie _QTE,Celerie branche _QTE,Celeri Rave _QTE,Champignon _GR,Champignons cuisinés _GR,Chou _QTE,Choux de Bruxelle _GR,Choufleur _QTE,Chou rave _QTE,Concombre _QTE,Courges _QTE,Courge butternut _QTE,Courge butternut _GR,Courgettes _QTE,Courgette petite _GR,Courgette _GR,Echallote _QTE,Fenouille _QTE,Harricot vert _GR,Kale _GR,Mais frais _QTE,Oignon rouge _QTE,Oignon _QTE,Oignon doux _GR,Oignon blanc _QTE,Oignon vert _QTE,Patate douce _QTE,Petits pois _GR,Panais _QTE,Poireaux _QTE,Poivron jaune _QTE,Poivron rouge _QTE,Pomme de terre _QTE,Pomme de terre grennaille _GR,Tomate _QTE,Tomate _GR,Tomate cerise _GR,Avocat _QTE,Citron _QTE,Citron vert _QTE,Grenade _QTE,Poire _QTE,Peche _QTE,_@@TYPE Cremerie,beurre _GR,Creme fraiche _QTE,Creme fraiche _GR,Creme liquide _ML,Lait de vache _ML,Oeuf _QTE,Boursin _GR,Burrata _QTE,Burrata _GR,Buche de chevre _GR,Cheddar _GR,Compte _QTE,Feta _QTE,Feta _GR,Fromage à raclette rape _GR,Gouda Fume _QTE,Gouda Fume _GR,Gruyere rape _GR,Halloumi _GR,Mozza balls _QTE,Mascarpone _QTE,Mozzarella _QTE,Mozzarella _GR,Mozzarella rapee _GR,Parmesan _QTE,Parmesan _GR,Reblochon _GR,Ricotta _GR,_@@TYPE Surgele,Petit poids surgele _GR,Epinard _QTE,Epinard _GR,_@@TYPE Conserve,Harricot blanc _GR,Harricot noir _GR,Harricot rouge _GR,Harricot judiones frais frais _GR,Lait de coco _ML,Lentille Corail _GR,Lentille _QTE,Lentille _GR,Mais conserve _QTE,Mais conserve _GR,Marron _GR,Olives noire _QTE,Olive noir _GR,Pois chiche _QTE,Pois chiche _GR,Tomate concassee _GR,Tomate concasse _ML,Coulis de tomate _ML,Tomate seche _QTE,Levure de biere _QTE,_@@TYPE Huile et condiments,huile de sesame _QTE,Houmous _QTE,Moutarde _QTE,Moutarde à l'ancienne _QTE,Miel _QTE,Pesto _QTE,Pesto rouge _QTE,Pignon de pin _QTE,Sauce soja _QTE,Sauce tomate basilique _QTE,Tahini _QTE,Huile de coco _QTE,Vinaigre de vin blanc _QTE,Vinaigre balsamique _QTE,Sirop d'erable _QTE,Sirop d'agave _QTE,_@@TYPE Herbes aromatiques,Coriandre _QTE,Ciboulette _QTE,Gingembre frais _QTE,Anethe _QTE,Basilique _QTE,Herbe de provence _QTE,Menthe _QTE,Thym _QTE,Origan _QTE,Persil _QTE,Romarin _QTE,_@@TYPE Epices,Ail semoule _QTE,Bouillon de legume _QTE,Cannelle _QTE,Cardamome _QTE,Cumin _QTE,Curry _QTE,Curcuma _QTE,Graines de fenouille _QTE,Jalapeno _QTE,Melange italien _QTE,Paprika _QTE,Poivre de cayenne _QTE,Piment d'espelette _QTE,Raz el hanout _QTE,THym _QTE,Zaatar _QTE,_@@TYPE Salades,Mache _QTE,Pousse d'epinard _QTE,Pousse d'epinard _GR,Romaine _QTE,Roquette _QTE,_@@TYPE Pate semoule riz,Boulgour _GR,Petite pate minestrone _QTE,Pates orzo _GR,Pate tortellini au fromage _GR,Lasagne _QTE,Gnocchi _GR,Pate feuillete _QTE,Pate brisee épaisse _QTE,Pate pizza _QTE,Pate filo _QTE,Riz _QTE,Riz _GR,Riz non cuit _QTE,Riz risotto _QTE,Riz risotto _GR,Couscous _GR,Polenta _GR,Quinoa _GR,Raviole _QTE,Gnocchi butternut _QTE,_@@TYPE Noix,Amande _QTE,Amande _GR,Cranberrie _QTE,Graine de sesame _QTE,Noix de grenoble _QTE,Noix de grenoble _GR,Noix de pecan _QTE,Noisette _GR,Pistache _GR,Raisin sec _QTE,Raisin sec _GR,Nuggets _QTE,Cereales a cuire cuisiner _GR,_@@TYPE Boulangerie,Farine _GR,Croutons _QTE,Pain _QTE,Pain burger _QTE,Galette tortilla _QTE,_@@TYPE Similicarne,Saucisse _QTE,Hache vegétal _QTE,_@@TYPE Autre,Chapelure _GR,Datte _QTE,Pate miso _QTE,Tofu _GR,Pate de curry _QTE,Filet de saumon _QTE,_@@TYPE Alcool,Vin blanc _ML,Cidre _QTE
Soupe hongroise aux champignons ,soupe,https://uneplumedanslacuisine.com/2009/12/soupe-hongroise-aux-champignons/,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0.5,,,,,,50,,100,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
Courge butternut farcie au riz et aux noisettes,farcis,https://www.marmiton.org/recettes/recette_courge-butternut-riz-noisettes_220103.aspx,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
"Quiche aux oignons, épinards et Reblochon - Recette végétarienne - Un déjeuner de soleil",tarte/quiche/pizza,https://www.undejeunerdesoleil.com/2020/01/quiche-oignons-epinards-reblochon.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,220,,3,,,,,,,,,,,,,,,,,,,,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,150,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiche printemps asperge brocoli petits pois feta,tarte/quiche/pizza,https://lacuisinedegeraldine.fr/quiche-printemps-asperges-brocolis-pois,,,10,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,5,,,,,,,,200,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediterranean Hummus Bowl {Vegan Freindly} | FeelGoodFoodie,Apéro,https://feelgoodfoodie.net/recipe/mediterranean-hummus-bowl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Ingredient Green Curry,curry,https://pinchofyum.com/green-curry,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Aubergine farcies veggie,farcis,https://jow.fr/recipes/aubergine-farcie-82127hlwcjgg00tl17yv,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
MUSHROOM VOL AU VENT,gateau salé,https://thetwincookingproject.net/mushroom-vol-au-vent/?utm_medium=social&utm_source=pinterest&utm_campaign=tailwind_tribes&utm_content=tribes&utm_term=1046546868_49051936_450108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zucchini ricotta,gratin,www.pinterest.com/pin/503066220892917116/,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,100,,70,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Vegan Moussaka with Lentils,gratin,https://choosingchia.com/vegan-lentil-moussaka/,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,50,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
Cheesy Root Vegetable Gratin | Spoon Fork Bacon,gratin,https://www.spoonforkbacon.com/cheesy-root-vegetable-gratin/?crlt.pid=camp.mxfXm5TjemfZ,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gratin de crozets aux poireaux, champignons et comté",gratin,https://cuisinetaligne.fr/2018/10/04/gratin-de-crozets-aux-poireaux-champignons-et-comte/amp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan Lasagne with Lentils and Spinach Pesto ,gratin,https://www.rebelrecipes.com/vegan-lasagne-lentils-spinach-pesto/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetarian Shepherds Pie with Mushrooms,gratin,https://thecookreport.co.uk/vegetarian-shepherds-pie-mushrooms/,,4,,,,,,,,3,,,,,150,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Dijon Roasted Carrots,grillé,www.pinterest.com/pin/503066220883720934/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tajine d hiver au quinoa, en sucré-salé ",mijoté,https://cuisipat.com/tajine-dhiver-quinoa-sucre-sale/,,,,,,,,,,2,,,,0.5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
légumes d automne au cidre,mijoté,https://www.grazia.fr/cuisine/recettes/legumes-dautomne-au-cidre-127551.html,,,,,,,,,,3,,1,,,450,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
dahl ,mijoté,c'est décidé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,20,200,,,,,,,,,,,,20,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenouil lentilles et citron,mijoté,https://thefeedfeed.com/boroughchef/fennel-lentils-and-lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provençal bean stew ,mijoté,Every day 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,55,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Pan Gnocchi with Sundried Tomatoes and White Beans,mijoté,www.pinterest.com/pin/503066220874829335/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tajine de légumes d’hiver et fruits secs – potiron, rutabaga et carottes",mijoté,www.pinterest.com/pin/503066220874862650/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veggie stir fry petit livre carré ,mijoté,Every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white pesto spinach lasagna,pâtes,https://www.halfbakedharvest.com/white-pesto-spinach-lasagna/,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,200,,,,,,,,,,,100,,200,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,
"gnocchis butternut, tomates, ",pâtes,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispy Sheet Pan Gnocchi and Veggies Is the Weeknight Dinner that Never Lets Us Down,pâtes,https://www.thekitchn.com/recipe-crispy-sheet-pan-gnocchi-and-veggies-247360?epik=dj0yJnU9d202MjNSdDhoLUZ3ZkVSSzZSekxLU2kyWFJOdWJoWUMmcD0wJm49VENSY09FT1NiajRPa2QydWR1bllaUSZ0PUFBQUFBR1pNN0tr,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,250,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recette de gnocchi et crème gorgonzola,pâtes,www.pinterest.com/pin/503066220893679861/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan Stuffed Shells with Spinach Cream,pâtes,www.pinterest.com/pin/503066220874806375/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan White Lasagna Soup,pâtes,www.pinterest.com/pin/503066220874619861/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta and Mushroom Ragu,pâtes,www.pinterest.com/pin/503066220891550486/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orecchiette with Swiss Chard, Parmesan and Fresh Lemon Zest",pâtes,www.pinterest.com/pin/503066220879619173/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Shrimp Pasta with Corn and Tomatoes,pâtes,www.pinterest.com/pin/503066220883176355/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miso walnut brocoli and mushroom brown rice,poelé / riz / bowls,https://fitmencook.com/recipes/miso-walnut-mushroom-broccoli-brown-rice/,,4,,,,,,1,,,,,,,250,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,1,,,,,,
Boulgour à la marocaine,poelé / riz / bowls,https://www.amandinecooking.com/boulgour-a-la-marocaine.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Maple Roasted Brussels Sprouts and Sweet Potatoes with Cranberries and Pecans ,poelé / riz / bowls,https://www.zestandsimmer.com/maple-roasted-brussels-sprouts-and-sweet-potatoes-with-cranberries-and-pecans/,,,,,,,,,,,,,,,,,,500,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
risotto crémeux aux noix et gorgonzola (every day),poelé / riz / bowls,Every day 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
risotto primavera (every day),poelé / riz / bowls,Every day,,3,,250,,,,,,,,,,,,,,,,,,,,,,175,,,,175,,,,1,,,,,225,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
