Nom,Type,Lien / livre et page,_@@TYPE fruits et legume,Ail _QTE,Asperge _QTE,Asperge _GR,Aubergine _QTE,Betterave _QTE,Betterave _GR,Brocolis _QTE,Brocoli _GR,Carotte _QTE,Cebette _QTE,Celerie _QTE,Celerie branche _QTE,Celeri Rave _QTE,Champignon _GR,Champignons cuisinés _GR,Chou _QTE,Choux de Bruxelle _GR,Choufleur _QTE,Chou rave _QTE,Concombre _QTE,Courges _QTE,Courge butternut _QTE,Courge butternut _GR,Courgettes _QTE,Courgette petite _GR,Courgette _GR,Echallote _QTE,Fenouille _QTE,Harricot vert _GR,Kale _GR,Mais frais _QTE,Oignon rouge _QTE,Oignon _QTE,Oignon doux _GR,Oignon blanc _QTE,Oignon vert _QTE,Patate douce _QTE,Petits pois _GR,Panais _QTE,Poireaux _QTE,Poivron jaune _QTE,Poivron rouge _QTE,Pomme de terre _QTE,Pomme de terre grennaille _GR,Tomate _QTE,Tomate _GR,Tomate cerise _GR,Avocat _QTE,Citron _QTE,Citron vert _QTE,Grenade _QTE,Poire _QTE,Peche _QTE,_@@TYPE Cremerie,beurre _GR,Creme fraiche _QTE,Creme fraiche _GR,Creme liquide _ML,Lait de vache _ML,Oeuf _QTE,Boursin _GR,Burrata _QTE,Burrata _GR,Buche de chevre _GR,Cheddar _GR,Compte _QTE,Feta _QTE,Feta _GR,Fromage à raclette rape _GR,Gouda Fume _QTE,Gouda Fume _GR,Gruyere rape _GR,Halloumi _GR,Mozza balls _QTE,Mascarpone _QTE,Mozzarella _QTE,Mozzarella _GR,Mozzarella rapee _GR,Parmesan _QTE,Parmesan _GR,Reblochon _GR,Ricotta _GR,_@@TYPE Surgele,Petit poids surgele _GR,Epinard _QTE,Epinard _GR,_@@TYPE Conserve,Harricot blanc _GR,Harricot noir _GR,Harricot rouge _GR,Harricot judiones frais frais _GR,Lait de coco _ML,Lentille Corail _GR,Lentille _QTE,Lentille _GR,Mais conserve _QTE,Mais conserve _GR,Marron _GR,Olives noire _QTE,Olive noir _GR,Pois chiche _QTE,Pois chiche _GR,Tomate concassee _GR,Tomate concasse _ML,Coulis de tomate _ML,Tomate seche _QTE,Levure de biere _QTE,_@@TYPE Huile et condiments,huile de sesame _QTE,Houmous _QTE,Moutarde _QTE,Moutarde à l'ancienne _QTE,Miel _QTE,Pesto _QTE,Pesto rouge _QTE,Pignon de pin _QTE,Sauce soja _QTE,Sauce tomate basilique _QTE,Tahini _QTE,Huile de coco _QTE,Vinaigre de vin blanc _QTE,Vinaigre balsamique _QTE,Sirop d'erable _QTE,Sirop d'agave _QTE,_@@TYPE Herbes aromatiques,Coriandre _QTE,Ciboulette _QTE,Gingembre frais _QTE,Anethe _QTE,Basilique _QTE,Herbe de provence _QTE,Menthe _QTE,Thym _QTE,Origan _QTE,Persil _QTE,Romarin _QTE,_@@TYPE Epices,Ail semoule _QTE,Bouillon de legume _QTE,Cannelle _QTE,Cardamome _QTE,Cumin _QTE,Curry _QTE,Curcuma _QTE,Graines de fenouille _QTE,Jalapeno _QTE,Melange italien _QTE,Paprika _QTE,Poivre de cayenne _QTE,Piment d'espelette _QTE,Raz el hanout _QTE,THym _QTE,Zaatar _QTE,_@@TYPE Salades,Mache _QTE,Pousse d'epinard _QTE,Pousse d'epinard _GR,Romaine _QTE,Roquette _QTE,_@@TYPE Pate semoule riz,Boulgour _GR,Petite pate minestrone _QTE,Pates orzo _GR,Pate tortellini au fromage _GR,Lasagne _QTE,Gnocchi _GR,Pate feuillete _QTE,Pate brisee épaisse _QTE,Pate pizza _QTE,Pate filo _QTE,Riz _QTE,Riz _GR,Riz non cuit _QTE,Riz risotto _QTE,Riz risotto _GR,Couscous _GR,Polenta _GR,Quinoa _GR,Raviole _QTE,Gnocchi butternut _QTE,_@@TYPE Noix,Amande _QTE,Amande _GR,Cranberrie _QTE,Graine de sesame _QTE,Noix de grenoble _QTE,Noix de grenoble _GR,Noix de pecan _QTE,Noisette _GR,Pistache _GR,Raisin sec _QTE,Raisin sec _GR,Nuggets _QTE,Cereales a cuire cuisiner _GR,_@@TYPE Boulangerie,Farine _GR,Croutons _QTE,Pain _QTE,Pain burger _QTE,Galette tortilla _QTE,_@@TYPE Similicarne,Saucisse _QTE,Hache vegétal _QTE,_@@TYPE Autre,Chapelure _GR,Datte _QTE,Pate miso _QTE,Tofu _GR,Pate de curry _QTE,Filet de saumon _QTE,_@@TYPE Alcool,Vin blanc _ML,Cidre _QTE
vegetarian stuffed pepper,poelé / riz / bowls,https://themodernproper.com/vegetarian-stuffed-peppers,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,250,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authentic Mujadara (Lentils and Rice with Crispy Onions) | The Mediterranean Dish,poelé / riz / bowls,www.pinterest.com/pin/503066220882623193/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash Mushroom Risotto,poelé / riz / bowls,www.pinterest.com/pin/503066220893871780/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou Fleur Caramélisé au Sésame et Gingembre Vegan (inspiration Coréenne) - Free The Pickle,poelé / riz / bowls,https://freethepickle.fr/2020/05/26/chou-fleur-caramelise-au-sesame-et-gingembre-vegan-inspiration-coreenne/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispy Lemon Feta with Spiced Chickpeas and Basil Orzo,poelé / riz / bowls,www.pinterest.com/pin/503066220884543258/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbidden Rice Salad with Mango, Bok Choy and Coconut Curried Dressing",poelé / riz / bowls,www.pinterest.com/pin/503066220882457881/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Mushrooms Cauliflower Skillet,poelé / riz / bowls,www.pinterest.com/pin/503066220883977666/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin and Mushroom Risotto,poelé / riz / bowls,www.pinterest.com/pin/503066220893871860/,,3,,,,,,,,,,,2,,450,,,,,,,,,450,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,
Roasted Cauliflower and Black Bean Coconut Stew ,poelé / riz / bowls,www.pinterest.com/pin/503066220886068713/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesame Orange Tofu Stir Fry,poelé / riz / bowls,www.pinterest.com/pin/503066220881603914/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Chili Lime Tofu with Coconut Rice - Plantifully Based,poelé / riz / bowls,www.pinterest.com/pin/503066220882457832/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creamy mushroom pasta (every day veggie),poelé / riz / bowls,Every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fusilli gorgonzola champi (every day veggie),poelé / riz / bowls,Every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Halloumi and Aubergine Wraps With Herbed Yoghurt,poelé / riz / bowls,www.pinterest.com/pin/503066220877641209/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Soy Glazed Salmon,poisson,https://messinthekitchen.com/maple-soy-glazed-salmon/?utm_medium=social&utm_source=pinterest&utm_campaign=tailwind_smartloop&utm_content=smartloop&utm_term=64593474#recipe,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galette de polenta,Polenta,bébé mange p228,,,,,,,,,,,,,,,150,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margherita Baked Polenta,Polenta,https://www.aspicyperspective.com/margherita-baked-polenta-recipe/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmesan Polenta with Roasted Vegetables,purée,https://familystylefood.com/roasted-vegetables-parmesan-polenta/,,1,,,1,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,1,,,,,,,,,,2,,,,,250,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashed potatoes with creamed spinach and peas,purée,www.pinterest.com/pin/503066220878576855/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polenta au parmesan, champignons et oeuf poché - Clemfoodie",purée,www.pinterest.com/pin/503066220893530295/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yotam Ottolenghi’s bean recipes,purée,www.pinterest.com/pin/503066220879014839/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pommes de terre cuites en robe des champs, saumon fumé et sauce aigre - chefNini",rotis,www.pinterest.com/pin/503066220875747385/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roasted Carrots with Farro, Chickpeas and Herbed Crème Fraîche",rotis,www.pinterest.com/pin/AVZktsoRhhzQITUMXoPSrhziSHzb1m5Dqbzoxc_2LL8njwQ0rl8efqE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosti de poireau au paprika ( recette weight watchers ),rotis,www.pinterest.com/pin/503066220860784704/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan Pie with Creamy Leeks and Mushrooms,rotis,www.pinterest.com/pin/AekBeUEWkAzyEthMcrLqcDTUiuzPPJT_W7J00FwbFbH_P1M0qgIZh8o/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salade de chou-fleur rôti, grenade et pignons de pin",salade,https://www.papillesetpupilles.fr/2020/05/salade-de-chou-fleur-roti-grenade-et-pignons-de-pin.html/,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Pan aux Saucisses et Légumes,salade,https://cuisine-addict.com/one-pan-aux-saucisses-et-legumes/#recipe,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,2,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
Lemon Orzo Chickpea Salad - Plant Based RD,salade,https://plantbasedrdblog.com/2021/03/lemon-orzo-chickpea-salad/,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Recipe: Peach Panzanella Salad,salade,https://www.rei.com/blog/camp/camp-recipe-peach-panzanella-salad?cm_mmc=sm_pn_76501-_-content-_-cinema-_-video-_-vv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Salade cocotte,salade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
Spring Couscous Salad with Basil Vinaigrette Recipe | Little Spice Jar,salade,https://littlespicejar.com/spring-couscous-salad-with-basil-vinaigrette/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy and Mouthwatering Arugula Pear Salad,salade,https://www.pinterest.fr/pin/503066220881261891/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer peach avocado salad,salade,https://www.ambitiouskitchen.com/summer-peach-spinach-salad/?utm_source=web%20stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salade pate pesto,salade,https://bakerbynature.com/easy-pesto-tortellini-pasta-salad/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mushroom, Lemon and Lentil Salad {vegan}",salade,https://ohmyveggies.com/mushroom-lemon-lentil-salad/,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Cauliflower Salad with Lemon Tahini Dressing - The Bitery,salade,https://thebitery.de/bitery_recipes/roasted-cauliflower-salad-with-lemon-tahini-dressing/,,1,,,,,,,,,2,,,,,,,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Halloumi Cheese Salad Recipe,salade,https://www.realsimple.com/food-recipes/browse-all-recipes/grilled-halloumi-salad-recipe,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Potato Salad with Lentils,salade,https://thefirstmess.com/2017/04/19/roasted-potato-salad-lentils-spring-vegetables-recipe/,,,18,,,,,,,,10,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,900,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salade falafel,salade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salade grecque,salade,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Broccoli Salad,salade,www.pinterest.com/pin/503066220873258006/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels Sprout Salad with Anchovy Tahini &amp;amp; Za’atar Chickpeas,salade,www.pinterest.com/pin/503066220893871761/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickpea Salad Recipe - NatashasKitchen.com,salade,www.pinterest.com/pin/503066220885350113/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chopped Thai-Inspired Chickpea Salad | Ambitious Kitchen,salade,www.pinterest.com/pin/503066220875890708/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farro Salad Creamy Lemon Tahini Dressing | Healthy Grain Salad Recipe,salade,www.pinterest.com/pin/503066220881022120/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Eastern Bean Salad- Balela,salade,www.pinterest.com/pin/503066220882622638/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moroccan Carrot and Quinoa Salad,salade,www.pinterest.com/pin/503066220881604020/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panzanella Style Caprese Asparagus Salad.,salade,www.pinterest.com/pin/503066220874092231/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Vegetable Winter Salad,salade,www.pinterest.com/pin/503066220887048960/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
